category,show_count,click_count,iflow_ctr,label
2,199952,31658,0.158327999,1
2,106363,16035,0.150757312,1
2,108489,16050,0.147941266,0
2,93393,11681,0.125073614,0
2,156827,19592,0.124927468,0
2,163485,19987,0.122255864,0
2,160932,23061,0.143296548,0
2,27109,3762,0.138773101,1
2,25436,3032,0.119201132,0
2,132648,15313,0.115440866,0
2,6894,772,0.111981433,0
2,127411,17239,0.135302289,0
2,41495,4547,0.109579467,0
2,43664,4728,0.108281422,0
2,227744,30688,0.134747787,1
2,1586,163,0.102774275,0
2,155586,20736,0.133276773,0
2,76462,10184,0.133190343,0
2,67157,8776,0.130678857,0
2,145198,14599,0.100545462,0
2,54790,7107,0.129713451,0
2,130133,16135,0.123988535,0
2,111203,13783,0.123944498,0
2,43142,7450,0.17268555,1
2,131683,16129,0.12248354,1
2,67168,7803,0.116171391,1
2,106012,12907,0.121750368,0
2,57368,6944,0.12104309,0
2,95146,11419,0.120015555,0
2,33660,3969,0.117914439,0
2,70457,8220,0.116666903,0
2,300771,34880,0.115968627,0
2,62748,7215,0.114983745,0
2,16648,1881,0.112986545,0
2,14575,1601,0.109845626,1
2,17667,1925,0.108960208,0
2,4113,442,0.107464138,0
2,53824,5764,0.107089774,0
2,38433,4035,0.104987901,0
2,54531,5650,0.10361079,0
2,68147,6871,0.100826155,0
2,35460,3539,0.099802594,0
2,194991,19276,0.098855845,0
2,12265,1210,0.098654709,0
2,1542,151,0.097924773,0
2,36815,3583,0.09732446,0
2,74383,7199,0.096782867,0
2,12988,1210,0.09316292,0
2,54872,5017,0.091430967,0
2,6871,628,0.091398632,0
2,62332,5690,0.091285375,0
2,2282,207,0.090709904,0
2,18908,1701,0.089961921,0
2,48409,4349,0.089838666,0
2,108152,9707,0.08975331,0
2,134916,11919,0.088343858,1
2,156133,13792,0.088334945,0
2,35870,3161,0.08812378,0
2,70679,6183,0.087480015,0
2,6615,576,0.08707483,0
2,206559,17957,0.086933999,0
2,47923,4149,0.086576383,0
2,22695,1958,0.08627451,0
2,10262,884,0.086143052,0
2,51548,4419,0.085725925,0
2,12072,1029,0.085238569,0
2,179902,15247,0.084751698,0
2,162657,13776,0.084693558,1
2,123299,10383,0.084209929,0
2,42260,3482,0.082394699,0
2,66342,5455,0.082225438,0
2,58760,4741,0.080684139,0
2,126915,10009,0.078863806,0
2,4947,389,0.078633515,0
2,224309,17518,0.078097624,0
2,45383,3542,0.078046846,0
2,31015,2412,0.077768822,0
2,43653,3383,0.077497537,0
2,19674,1517,0.077106842,0
2,28268,2168,0.076694496,0
2,45708,3493,0.076419883,0
2,24337,1849,0.075974853,0
2,32230,2446,0.075892026,0
2,192097,14531,0.075644076,0
2,94071,7103,0.075506798,0
2,81616,6130,0.075107822,0
2,90075,6754,0.074981959,0
2,196833,14676,0.074560668,0
2,56213,4161,0.074022023,0
2,51118,3756,0.073477053,0
2,34418,2527,0.073420884,0
2,110070,8058,0.073207959,0
2,33016,2331,0.070602132,0
2,84764,5952,0.070218489,0
2,2948,207,0.070217096,0
2,88972,6199,0.069673605,0
2,36219,2477,0.068389519,0
2,11620,772,0.066437177,1
2,23005,1522,0.066159531,0
2,37558,2430,0.064699931,0
2,13872,877,0.063220877,0
2,36375,2183,0.060013746,0
2,24223,1433,0.059158651,0
2,9309,544,0.058438071,1
2,20960,1217,0.058062977,0
2,2043,116,0.056779246,1
2,19927,1122,0.056305515,0
2,1080,59,0.05462963,0
2,21008,1142,0.054360244,0
2,2120,114,0.053773585,0
2,6481,346,0.053386823,0
2,6860,363,0.052915452,0
2,4840,256,0.052892562,0
2,2346,124,0.052855925,0
2,6851,350,0.051087432,0
2,2619,131,0.050019091,0
3,21271,2351,0.110526068,0
3,27478,2979,0.108414004,0
3,149154,15898,0.106587822,0
3,105431,10702,0.101507147,0
3,46870,4554,0.097162364,0
3,33774,3237,0.095842956,0
3,131316,12380,0.094276402,0
3,28806,2643,0.091751718,0
3,48024,4371,0.091016992,0
3,70332,6290,0.089432975,0
3,25827,2266,0.087737639,0
3,33500,2860,0.085373134,1
3,95758,7919,0.082698051,0
3,90257,7412,0.082121054,0
3,88142,7114,0.080710671,0
3,66015,5306,0.080375672,0
3,88160,6926,0.078561706,0
3,102242,7996,0.078206608,0
